,INATTENTIONIND,UNDERINFL,PEDROWNOTGRNT,SPEEDING,SEVERITYCODE,ADDRTYPE_1.0,ADDRTYPE_2.0,JUNCTIONTYPE_1.0,JUNCTIONTYPE_2.0,JUNCTIONTYPE_3.0,JUNCTIONTYPE_4.0,JUNCTIONTYPE_5.0,JUNCTIONTYPE_6.0,ROADCOND_2.0,ROADCOND_3.0,ROADCOND_4.0,LIGHTCOND_1.0,LIGHTCOND_2.0,LIGHTCOND_4.0,SDOT_COLCODE_1,SDOT_COLCODE_2,SDOT_COLCODE_3,SDOT_COLCODE_4,SDOT_COLCODE_5,SDOT_COLCODE_6,SDOT_COLCODE_7,WEATHER_1.0,WEATHER_2.0,WEATHER_3.0,WEATHER_4.0
SDOT_COLCODE_2,-0.005158703506052777,0.0019213166041054503,0.6005109254596332,-0.042995948459554276,0.2978710058830916,0.16832419232852347,-0.1683580518836434,-0.018539512830505582,0.17383733495526874,0.011753875883672058,-0.06690550802500138,-0.12170105011907342,-0.004534305495486352,0.005861760295695411,-0.008250370363732294,-0.03839204656749806,0.010341151096112266,-0.0001433354642751223,-0.04288852345242335,-0.5448441852844652,1.0,-0.06822157904290749,-0.0091065000404966,-0.0060176922849969165,-0.02272145426382149,-0.007329523119240403,0.01031975426458801,-0.0031057996775122497,-0.0021575206814441476,-0.04014800981376111
SDOT_COLCODE_3,-0.026131502118528913,0.15574451466137085,-0.04560111854651879,0.2552947641543118,-0.02485315983514122,-0.10198493594956545,0.10107627462554675,-0.0014496337785634644,-0.1023702071345689,-0.03857058344284093,0.01904937303196874,0.10195623948216621,0.009555107388262466,0.08166445075189761,0.02889343565315585,-0.04782507446462756,0.13559716202674654,0.04170184316067355,-0.04365554345857064,-0.6625969831951489,-0.06822157904290749,1.0,-0.011074614756506148,-0.007318247788171048,-0.02763205968934369,-0.008913594084834274,0.06184716048229034,0.017449790207236634,0.014367679277968632,-0.046035811081546
SDOT_COLCODE_4,-0.014039567981470897,-0.00808700971865802,-0.006209060742053864,-0.007541664280321261,-0.019281773101503898,-0.023484302900041564,0.02296950804558834,-0.001396213366298702,-0.02334767926569991,0.0039592186376129455,-0.009557749186498201,0.02685201477955682,-0.0011376422767877146,-0.0012780896146846567,0.0008643491710964942,-0.004192408008966697,-0.0022676347550435894,0.006121998990129736,-0.004092620886280171,-0.08844620043946587,-0.0091065000404966,-0.011074614756506148,1.0,-0.0009768701445246875,-0.003688442223264716,-0.0011898236017633048,-0.004285449363998579,-0.002260347319082249,0.005947556064543099,-0.005826145073780622
SDOT_COLCODE_5,-0.009312358836566588,-0.0037879321511710556,-0.0041030271518474265,-0.005845006506630116,-0.0081674135807697,-0.01305460659591998,0.012659620183540127,0.0013775157666509911,-0.013457955933851379,-0.0007268722918041548,-0.002901445106617258,0.014715916969118574,-0.0007517686401642441,-0.002449859954923831,-0.0019259121162050607,-0.003978958761100272,0.002814690149744566,0.0005486788969168109,-0.004481525531747687,-0.05844638617011146,-0.0060176922849969165,-0.007318247788171048,-0.0009768701445246875,1.0,-0.002437370033695607,-0.000786250730466048,-0.0009463900421112617,-0.0014936665637800437,0.001486922658236983,-0.003418290473538572
SDOT_COLCODE_6,0.001199825015278009,-0.00878990896556236,0.11569656513982961,-0.008381403328234142,0.11699477300598334,0.03912653914343153,-0.038833706655336996,-0.007497451285606667,0.041161642698683595,0.013359072815450514,-0.020502362549455623,-0.03015940829728607,0.0010524012249634137,-0.02212436598900966,-0.005745626380803729,-0.019595340903263495,-0.014819182777125309,-0.003373687770190766,-0.017724380551186462,-0.2206804248791006,-0.02272145426382149,-0.02763205968934369,-0.003688442223264716,-0.002437370033695607,1.0,-0.0029687061361768482,-0.019266442462435147,-0.0026947079472355332,0.0003260446592242059,-0.021043363556656015
SDOT_COLCODE_7,-0.005766399317229985,-0.0021330060191237926,0.03657455860266807,0.0017836321884949365,0.043912398676095074,0.004990628982695781,-0.004902795137235692,-0.00162088783370968,0.00540666511009943,-0.0015676449391828018,-0.004522492644881083,-0.0010148880700691118,-0.0009156509451512803,-0.0040121623480755585,-0.002345752609602947,-0.005171677259864931,-0.007437358184745027,-0.002252242421371464,-0.007697577696906515,-0.07118744501693794,-0.007329523119240403,-0.008913594084834274,-0.0011898236017633048,-0.000786250730466048,-0.0029687061361768482,1.0,-0.0028237278699074332,-0.0018192794003251465,-0.003488035564915136,-0.006227377880141494
WEATHER_1.0,-0.020385812376541263,0.0105093591384751,0.014251120616374681,0.1125748085477518,0.02643133757962192,0.0326377323541964,-0.03209898975532289,-0.002940273815967418,0.03361486288984517,-0.009315085163116368,0.014350173951989736,-0.03634776533786405,0.002659902550079584,0.7513977336815548,0.08814886999319886,-0.1206043541910831,0.15839418534849856,0.0243340915333543,-0.08929191078256024,-0.031378720273013604,0.01031975426458801,0.06184716048229034,-0.004285449363998579,-0.0009463900421112617,-0.019266442462435147,-0.0028237278699074332,1.0,-0.02790922179821611,-0.19838830937983393,-0.12792722947806467
WEATHER_2.0,0.0029033290394961937,0.007770381581730417,-7.28035215655012e-06,0.008684412313159107,0.0022050139344624853,-0.003739653864063197,0.003699051059827923,-0.00183973170118364,-0.0033340698974116457,-0.0016954728337721112,0.0022947181621255602,0.0023705464867814097,0.0077300766085556735,0.011755890664807351,0.006686831815758219,-0.011124346392448843,0.03200417283903212,0.017199471761270846,-0.008647920879523142,-0.008389075449465891,-0.0031057996775122497,0.017449790207236634,-0.002260347319082249,-0.0014936665637800437,-0.0026947079472355332,-0.0018192794003251465,-0.02790922179821611,1.0,-0.02456746515637465,-0.01584189997164721
WEATHER_3.0,0.00853563995342086,0.0020789807947632745,-0.0012860380529123921,0.011894712229541433,0.008561032253245044,0.01166720111961211,-0.011433162926641358,-0.006199311537158606,0.01319595631308484,0.013605991801313883,0.010209251777927518,-0.024370673510603406,0.00270958656261631,0.12778381879388323,-0.0017047743642917964,-0.0884425613143527,0.028830627622557895,0.002064791287192997,-0.07796957649396097,0.001603969679517895,-0.0021575206814441476,0.014367679277968632,0.005947556064543099,0.001486922658236983,0.0003260446592242059,-0.003488035564915136,-0.19838830937983393,-0.02456746515637465,1.0,-0.11260965194463206
WEATHER_4.0,-0.07927160291649281,-0.05596058538457534,-0.025542154016343684,-0.05093692813839282,-0.13881547975006614,-0.1226441165791212,0.12125375654833008,0.02000270807415236,-0.1284124917542093,-0.025529176167823187,-0.04003751005032011,0.15561308067649404,-0.00502888048883677,-0.13304667285360014,0.008735610547015056,0.8894373895038375,-0.10403542465630215,-0.0016537914339872085,0.6979878084771863,-0.022311965394507968,-0.04014800981376111,-0.046035811081546,-0.005826145073780622,-0.003418290473538572,-0.021043363556656015,-0.006227377880141494,-0.12792722947806467,-0.01584189997164721,-0.11260965194463206,1.0
